Афганистан, AF
Албания, AL
Алжир, DZ
Американское Самоа, AS
Андорра, AD
Ангола, AO
Ангилья, AI
Антарктида, AQ
Антигуа и Барбуда, AG
Аргентина, AR
Армения, AM
Аруба, AW
Австралия, AU
Австрия, AT
Азербайджан, AZ
Багамские Острова, BS
Бахрейн, BH
Бангладеш, BD
Барбадос, BB
Беларусь, BY
Бельгия, BE
Белиз, BZ
Бенин, BJ
Бермуды, BM
Бутан, BT
Боливия, BO
Босния и Герцеговина, BA
Ботсвана, BW
Остров Буве, BV
Бразилия, BR
Британская территория в Индийском океане, IO
Бруней-Даруссалам, BN
Болгария, BG
Буркина-Фасо, BF
Бурунди, BI
Камбоджа, KH
Камерун, CM
Канада, CA
Кабо-Верде, CV
Каймановы острова, KY
Центрально-Африканская Республика, CF
Чад, TD
Чили, CL
Китай, CN
Остров Рождества, CX
Кокосовые острова, CC
Колумбия, CO
Коморы, KM
Конго, CG
Демократическая Республика Конго, CD
Острова Кука, CK
Коста-Рика, CR
Хорватия, HR
Куба, CU
Кипр, CY
Чехия, CZ
Дания, DK
Джибути, DJ
Доминика, DM
Доминиканская Республика, DO
Эквадор, EC
Египет, EG
Сальвадор, SV
Экваториальная Гвинея, GQ
Эритрея, ER
Эстония, EE
Эсватини, SZ
Эфиопия, ET
Фолклендские острова (Мальвинские), FK
Фарерские острова, FO
Фиджи, FJ
Финляндия, FI
Франция, FR
Французская Гвиана, GF
Французская Полинезия, PF
Французские Южные территории, TF
Габон, GA
Гамбия, GM
Грузия, GE
Германия, DE
Гана, GH
Гибралтар, GI
Греция, GR
Гренландия, GL
Гренада, GD
Гваделупа, GP
Гуам, GU
Гватемала, GT
Гвинея, GN
Гвинея-Бисау, GW
Гайана, GY
Гаити, HT
Остров Херд и острова Макдональд, HM
Гондурас, HN
Гонконг, HK
Венгрия, HU
Исландия, IS
Индия, IN
Индонезия, ID
Иран, IR
Ирак, IQ
Ирландия, IE
Израиль, IL
Италия, IT
Ямайка, JM
Япония, JP
Иордания, JO
Казахстан, KZ
Кения, KE
Кирибати, KI
Северная Корея, KP
Южная Корея, KR
Кувейт, KW
Кыргызстан, KG
Лаос, LA
Латвия, LV
Ливан, LB
Лесото, LS
Либерия, LR
Ливия, LY
Лихтенштейн, LI
Литва, LT
Люксембург, LU
Макао, MO
Северная Македония, MK
Мадагаскар, MG
Малави, MW
Малайзия, MY
Мальдивы, MV
Мали, ML
Мальта, MT
Маршалловы Острова, MH
Мартиника, MQ
Мавритания, MR
Маврикий, MU
Майотта, YT
Мексика, MX
Микронезия, FM
Молдова, MD
Монако, MC
Монголия, MN
Черногория, ME
Монтсеррат, MS
Марокко, MA
Мозамбик, MZ
Мьянма, MM
Намибия, NA
Науру, NR
Непал, NP
Нидерланды, NL
Новая Каледония, NC
Новая Зеландия, NZ
Никарагуа, NI
Нигер, NE
Нигерия, NG
Ниуэ, NU
Остров Норфолк, NF
Северные Марианские острова, MP
Норвегия, NO
Оман, OM
Пакистан, PK
Палау, PW
Палестина, PS
Панама, PA
Папуа — Новая Гвинея, PG
Парагвай, PY
Перу, PE
Филиппины, PH
Питкэрн, PN
Польша, PL
Португалия, PT
Пуэрто-Рико, PR
Катар, QA
Реюньон, RE
Румыния, RO
Россия, RU
Руанда, RW
Сен-Бартелеми, BL
Святая Елена, SH
Сент-Китс и Невис, KN
Сент-Люсия, LC
Сен-Мартен, MF
Сен-Пьер и Микелон, PM
Сент-Винсент и Гренадины, VC
Самоа, WS
Сан-Марино, SM
Сан-Томе и Принсипи, ST
Саудовская Аравия, SA
Сенегал, SN
Сербия, RS
Сейшелы, SC
Сьерра-Леоне, SL
Сингапур, SG
Синт-Мартен, SX
Словакия, SK
Словения, SI
Соломоновы острова, SB
Сомали, SO
Южная Африка, ZA
Южная Джорджия и Южные Сандвичевы острова, GS
Южный Судан, SS
Испания, ES
Шри-Ланка, LK
Судан, SD
Суринам, SR
Шпицберген и Ян-Майен, SJ
Швеция, SE
Швейцария, CH
Сирия, SY
Тайвань, TW
Таджикистан, TJ
Танзания, TZ
Таиланд, TH
Восточный Тимор, TL
Того, TG
Токелау, TK
Тонга, TO
Тринидад и Тобаго, TT
Тунис, TN
Турция, TR
Туркменистан, TM
Тувалу, TV
Уганда, UG
Украина, UA
Объединённые Арабские Эмираты, AE
Великобритания, GB
Британия, GB
Англия, GB
США, US
Америка, US
Соединённые Штаты Америки, US
Уругвай, UY
Узбекистан, UZ
Вануату, VU
Ватикан, VA
Венесуэла, VE
Вьетнам, VN
Виргинские острова (Британские), VG
Виргинские острова (США), VI
Уоллис и Футуна, WF
Западная Сахара, EH
Йемен, YE
Замбия, ZM
Зимбабве, ZW